runId,experimentId,variant,totalRequests,distinctTransactions,completed,failed,rolledBack,rollbackFailed,idempotentReplays,rejectedLockAttempts,rejectedRequests,confirmedReservations,releasedReservations,unresolvedLocks,compensationsAttempted,compensationSuccessRate,paymentCaptured,paymentAuthFailed,paymentCaptureFailed,paymentRefunded,paymentVoided,paymentReversalFailed,riskLevels,recoveryRecommendations,e2eMeanMs,e2eP50Ms,e2eP95Ms,e2eP99Ms,e2eMaxMs,sagaMeanMs,sagaP95Ms,throughputRps,wallClockMs,concurrency,observedMaxInFlight
20260924_214938_o4nb,E08-duplicate-idempotency,duplicate-success,20,5,5,0,0,0,15,0,{},15,0,0,0,,5,0,0,0,0,0,"{""LOW"":5}",{},73.572,7.85,326.265,381.093,381.093,232.6,291,11.038,1811.888,1,1
20260924_214938_o4nb,E08-duplicate-idempotency,duplicate-after-rollback,20,5,0,0,5,0,15,0,{},0,15,0,10,1,0,0,0,0,5,0,"{""LOW"":5}",{},55.538,5.198,224.067,236.453,236.453,183.2,201,14.251,1403.431,1,1
20260924_214938_o4nb,E08-duplicate-idempotency,payload-mismatch,5,0,0,0,0,0,0,0,"{""IDEMPOTENCY_KEY_REUSED"":5}",0,0,0,0,,0,0,0,0,0,0,{},{},5.22,4.741,7.267,7.267,7.267,,,188.167,26.572,1,1
