runId,experimentId,variant,totalRequests,distinctTransactions,completed,failed,rolledBack,rollbackFailed,idempotentReplays,rejectedLockAttempts,rejectedRequests,confirmedReservations,releasedReservations,unresolvedLocks,compensationsAttempted,compensationSuccessRate,paymentCaptured,paymentAuthFailed,paymentCaptureFailed,paymentRefunded,paymentVoided,paymentReversalFailed,riskLevels,recoveryRecommendations,e2eMeanMs,e2eP50Ms,e2eP95Ms,e2eP99Ms,e2eMaxMs,sagaMeanMs,sagaP95Ms,throughputRps,wallClockMs,concurrency,observedMaxInFlight
20260924_214748_n56w,E08-duplicate-idempotency,duplicate-success,20,5,5,0,0,0,15,0,{},15,0,0,0,,5,0,0,0,0,0,"{""LOW"":5}",{},135.557,16.565,528.583,645.488,645.488,425.2,517,5.609,3565.402,1,1
20260924_214748_n56w,E08-duplicate-idempotency,duplicate-after-rollback,20,5,0,0,5,0,15,0,{},0,15,0,10,1,0,0,0,0,5,0,"{""LOW"":5}",{},124.778,12.565,495.059,495.226,495.226,406,431,6.338,3155.562,1,1
20260924_214748_n56w,E08-duplicate-idempotency,payload-mismatch,5,0,0,0,0,0,0,0,"{""IDEMPOTENCY_KEY_REUSED"":5}",0,0,0,0,,0,0,0,0,0,0,{},{},9.653,10.917,11.91,11.91,11.91,,,102.892,48.595,1,1
